mN/GeV	c tau (meters) for Ue = 1
3.902730574379557	5.334190937182872e-7
3.953955744549053	4.974464543681749e-7
4.005853269114758	4.639103405995175e-7
4.058431973043625	4.3264590590986116e-7
4.111700797134444	4.0349932372703814e-7
4.165668799538188	3.7632712108250373e-7
4.2203451572983	3.5099546230908175e-7
4.2757391679112375	3.273795085626386e-7
4.331860250907458	3.0536284914550013e-7
4.388717949453171	2.8483694537380394e-7
4.446321931973128	2.6570056284813153e-7
4.504681993794694	2.478593289505958e-7
4.563808058813488	2.312252517438501e-7
4.62371018118093	2.1571632680816754e-7
4.68439854701389	2.0125608247334882e-7
4.7458834761268065	1.8777325131253865e-7
4.808175423786515	1.7520150262151016e-7
4.871284982490146	1.6347872275763606e-7
4.935222883766319	1.5254724120365726e-7
5.	1.4235344249705507e-7
